code,time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,Age,Cohort_NEETNK,NEET_not_known_perc,NEET_perc,Notknown_perc,annual_change_ppts_NEET_not_known,annualchange_NEET,annualchange_notknown,cohort_participation,total_participating_in_education_training_perc,full_time_education_perc,apprenticeship_perc,other_education_training_perc,annual_change_Participation_in_education_training,annual_change_FTE,annual_change_apprenticeship,annual_change_other_education_training,september_guarantee_offer_made_perc,September guarantee_annual change ppts,cohort_noSEN_percent,NEETNK_noSEN_percent,cohort_EHCP_percent,NEETNK_EHCP_percent,cohort_SENDsupport_percent,NEETNK_SENDsupport_percent,VG_cohort_DJF_avg,VG_cohort_percentage,VG_NEET_NK_percentage,level_3,l2_em_gcse_othL2,avg_att8,pt_l2basics_94,sess_overall_percent,sess_overall_percent_pa_10_exact,Age1617 ONS population
E09000029,2022,Calendar year,Local authority,E92000001,England,E12000007,London,319,E09000029,Sutton,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E09000030,2022,Calendar year,Local authority,E92000001,England,E12000007,London,211,E09000030,Tower Hamlets,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E09000031,2022,Calendar year,Local authority,E92000001,England,E12000007,London,320,E09000031,Waltham Forest,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E09000032,2022,Calendar year,Local authority,E92000001,England,E12000007,London,212,E09000032,Wandsworth,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E09000033,2022,Calendar year,Local authority,E92000001,England,E12000007,London,213,E09000033,Westminster,16-17,0.5,0.6,0.2,0.6,0.45,0.4534,2.3,4.3,6.5,0.454,0.34,0.23,0.34,0.54,0.234,0.345,234,0.3,1.3,1.1,1.55,1.55,1.55,1.33,1.44,1.55,1,1,1,1,1,1,1,1
E12000001,2022,Calendar year,Regional,E92000001,England,E12000001,North East,z,z,z,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E06000005,2022,Calendar year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E08000037,2022,Calendar year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E06000001,2022,Calendar year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E06000002,2022,Calendar year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E08000021,2022,Calendar year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E08000022,2022,Calendar year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E06000057,2022,Calendar year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E06000003,2022,Calendar year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E08000023,2022,Calendar year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E06000004,2022,Calendar year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E08000024,2022,Calendar year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E06000047,2022,Calendar year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E12000002,2022,Calendar year,Regional,E92000001,England,E12000002,North West,z,z,z,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E06000008,2022,Calendar year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E06000009,2022,Calendar year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E08000001,2022,Calendar year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E08000002,2022,Calendar year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E06000049,2022,Calendar year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E06000050,2022,Calendar year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E10000006,2022,Calendar year,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E06000006,2022,Calendar year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E08000011,2022,Calendar year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E10000017,2022,Calendar year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E08000012,2022,Calendar year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E08000003,2022,Calendar year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E08000004,2022,Calendar year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E08000005,2022,Calendar year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E08000006,2022,Calendar year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E08000014,2022,Calendar year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E08000013,2022,Calendar year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E08000007,2022,Calendar year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E08000008,2022,Calendar year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E08000009,2022,Calendar year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E06000007,2022,Calendar year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E08000010,2022,Calendar year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E08000015,2022,Calendar year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E12000008,2022,Calendar year,Regional,E92000001,England,E12000008,South East,z,z,z,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E06000036,2022,Calendar year,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E06000043,2022,Calendar year,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E06000060,2022,Calendar year,Local authority,E92000001,England,E12000008,South East,825,E06000060,Buckinghamshire,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E10000011,2022,Calendar year,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E10000014,2022,Calendar year,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E06000046,2022,Calendar year,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E10000016,2022,Calendar year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E06000035,2022,Calendar year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E06000042,2022,Calendar year,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E10000025,2022,Calendar year,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E06000044,2022,Calendar year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E06000038,2022,Calendar year,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E06000039,2022,Calendar year,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,16-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
